Book Name,Author,Price,Rating,URL
"Lean And Green Cookbook 2021: 550+ Lean and Green Super Tasty Recipes For Beginners, Ideal For Quick Weight Loss and Lifelong Success",,$0.00,5.0 out of 5 stars,https://www.amazon.com/Lean-Green-Cookbook-2021-Beginners-ebook/dp/B091CQ1CYY/ref=sr_1_1?dchild=1&keywords=books&qid=1617943832&sr=8-1
The Brides Of Lost Creek 18 Book Box Set: The Brides Of Lost Creek,,$0.00,,https://www.amazon.com/Brides-Lost-Creek-Book-Box-ebook/dp/B091WY8Q7F/ref=sr_1_2?dchild=1&keywords=books&qid=1617943832&sr=8-2
Ocean Prey (A Prey Novel Book 31),,$14.99,,https://www.amazon.com/Ocean-Prey-Novel-Book-31-ebook/dp/B08DMVCQNL/ref=sr_1_3?dchild=1&keywords=books&qid=1617943832&sr=8-3
The Four Winds: A Novel,,$0.00,4.6 out of 5 stars,https://www.amazon.com/The-Four-Winds-A-Novel/dp/B0882VNQKS/ref=sr_1_4?dchild=1&keywords=books&qid=1617943832&sr=8-4
The Midnight Library: A Novel,Matt Haig,$13.33,4.4 out of 5 stars,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/dp/0525559477/ref=sr_1_5?dchild=1&keywords=books&qid=1617943832&sr=8-5
Amelia Bedelia Chapter Book 4-Book Box Set: Books 1-4,Herman Parish,$16.26,4.8 out of 5 stars,https://www.amazon.com/Amelia-Bedelia-Chapter-Book-Box/dp/0062334204/ref=sr_1_6?dchild=1&keywords=books&qid=1617943832&sr=8-6
They Both Die at the End,Adam Silvera,$8.37,4.7 out of 5 stars,https://www.amazon.com/They-Both-Die-at-End/dp/0062457802/ref=sr_1_7?dchild=1&keywords=books&qid=1617943832&sr=8-7
Greenlights,,$0.00,4.7 out of 5 stars,https://www.amazon.com/Greenlights/dp/B08HLW2JXD/ref=sr_1_9?dchild=1&keywords=books&qid=1617943832&sr=8-9
On the House: A Washington Memoir,John Boehner,$18.00,,https://www.amazon.com/House-John-Boehner/dp/1250238447/ref=sr_1_10?dchild=1&keywords=books&qid=1617943832&sr=8-10
The Storyteller: Tales of Life and Music,Dave Grohl,$25.04,,https://www.amazon.com/Storyteller-Tales-Life-Music/dp/0063076098/ref=sr_1_12?dchild=1&keywords=books&qid=1617943832&sr=8-12
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),,$5.52,4.8 out of 5 stars,https://www.amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319/ref=sr_1_13?dchild=1&keywords=books&qid=1617943832&sr=8-13
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,,$0.00,4.8 out of 5 stars,https://www.amazon.com/Atomic-Habits-James-Clear-audiobook/dp/B07RFSSYBH/ref=sr_1_14?dchild=1&keywords=books&qid=1617943832&sr=8-14
Finding Freedom: A Cook's Story; Remaking a Life from Scratch,Erin French,$22.49,4.4 out of 5 stars,https://www.amazon.com/Finding-Freedom-Cooks-Remaking-Scratch/dp/1250312345/ref=sr_1_15?dchild=1&keywords=books&qid=1617943832&sr=8-15
Faucian Bargain: The Most Powerful and Dangerous Bureaucrat in American History,Steve Deace,$15.90,4.8 out of 5 stars,https://www.amazon.com/Faucian-Bargain-Powerful-Dangerous-Bureaucrat/dp/1637581114/ref=sr_1_16?dchild=1&keywords=books&qid=1617943832&sr=8-16
